run number, parent duration, child duration
0,140,230
1,161,249
2,154,234
3,162,259
4,159,248
5,175,255
6,171,255
7,169,268
8,171,274
9,158,257
10,151,255
11,163,263
12,140,261
13,135,238
14,132,243
15,132,236
16,133,236
17,159,215
18,134,241
19,123,226
20,123,226
21,130,233
22,139,246
23,168,294
24,136,258
25,122,224
26,126,230
27,142,244
28,153,258
29,131,260
30,129,240
31,127,234
32,127,237
33,132,247
34,123,228
35,138,243
36,154,232
37,119,220
38,113,217
39,146,249
40,124,227
41,114,221
42,120,226
43,140,207
44,126,231
45,143,244
46,133,236
47,133,233
48,134,269
49,140,237
50,116,221
51,132,210
52,135,238
53,123,195
54,123,232
55,122,188
56,126,232
57,129,200
58,125,235
59,140,202
60,105,208
61,136,199
62,128,246
63,118,189
64,127,234
65,141,211
66,114,225
67,129,193
68,143,206
69,114,184
70,120,229
71,138,206
72,107,214
73,129,183
74,120,197
75,131,201
76,116,195
77,141,222
78,114,196
79,129,193
80,127,201
81,121,192
82,142,242
83,136,226
84,112,193
85,121,193
86,117,199
87,129,196
88,120,195
89,125,193
90,123,214
91,116,187
92,116,200
93,124,195
94,112,189
95,121,185
96,112,200
97,125,194
98,122,200
99,125,196
100,132,217
101,139,192
102,123,202
103,123,191
104,108,190
105,113,183
106,128,202
107,137,202
108,140,215
109,124,194
110,112,190
111,135,189
112,114,193
113,116,184
114,113,192
115,131,202
116,127,213
117,121,185
118,108,188
119,120,191
120,114,194
121,172,245
122,149,208
123,139,201
124,136,203
125,118,194
126,136,216
127,107,187
128,125,197
129,126,214
130,119,191
131,113,195
132,156,265
133,107,185
134,131,202
135,136,212
136,120,195
137,107,188
138,136,202
139,117,190
140,123,194
141,107,188
142,121,190
143,123,202
144,148,271
145,112,191
146,124,194
147,140,233
148,136,194
149,116,195
150,137,208
151,118,197
152,124,193
153,108,189
154,136,205
155,114,216
156,114,185
157,128,203
158,125,191
159,116,195
160,138,192
161,114,192
162,133,206
163,114,188
164,115,185
165,122,203
166,168,225
167,111,190
168,122,196
169,109,188
170,128,179
171,114,202
172,121,193
173,137,187
174,113,196
175,117,188
176,135,246
177,135,190
178,122,198
179,125,199
180,107,189
181,127,200
182,123,206
183,131,188
184,137,218
185,126,195
186,120,204
187,138,196
188,106,185
189,148,211
190,135,210
191,118,189
192,116,194
193,123,197
194,116,191
195,144,201
196,117,197
197,123,192
198,135,207
199,125,190
200,128,202
201,147,201
202,112,190
203,127,203
204,137,203
205,122,190
206,125,199
207,141,222
208,117,198
209,121,194
210,112,193
211,122,190
212,148,208
213,126,198
214,118,197
215,124,199
216,110,191
217,128,196
218,129,214
219,116,188
220,117,190
221,127,221
222,122,199
223,133,200
224,111,191
225,133,205
226,125,203
227,122,188
228,131,206
229,129,214
230,117,197
231,125,200
232,118,222
233,122,192
234,122,199
235,132,205
236,109,188
237,122,197
238,118,197
239,128,196
240,142,216
241,119,190
242,120,202
243,120,194
244,125,205
245,146,208
246,128,191
247,120,194
248,118,193
249,123,195
250,121,198
251,126,193
252,126,204
253,130,204
254,111,191
255,140,206
256,126,190
257,132,205
258,117,199
259,120,189
260,118,212
261,123,196
262,134,209
263,115,186
264,119,200
265,146,204
266,116,197
267,129,200
268,114,189
269,128,201
270,125,216
271,116,187
272,132,192
273,123,194
274,135,210
275,122,195
276,116,198
277,146,211
278,115,189
279,137,208
280,117,198
281,116,190
282,133,173
283,116,200
284,134,201
285,118,198
286,116,191
287,123,203
288,135,219
289,115,189
290,128,196
291,117,195
292,132,206
293,111,194
294,113,187
295,139,196
296,124,191
297,119,195
298,129,221
299,113,193
300,133,205
301,123,198
302,135,203
303,119,202
304,118,190
305,130,209
306,129,201
307,111,190
308,130,198
309,119,200
310,120,195
311,134,205
312,122,192
313,126,202
314,149,258
315,109,189
316,120,194
317,115,187
318,131,188
319,135,214
320,121,194
321,117,199
322,128,222
323,124,200
324,135,202
325,118,197
326,115,191
327,126,207
328,133,220
329,117,192
330,151,216
331,114,195
332,124,198
333,153,241
334,114,186
335,129,209
336,148,219
337,111,191
338,127,201
339,140,202
340,120,191
341,133,214
342,127,200
343,109,189
344,122,197
345,131,206
346,128,199
347,124,205
348,124,198
349,111,192
350,134,216
351,121,196
352,122,187
353,110,188
354,130,207
355,123,200
