run number, parent duration, child duration
0,1599,1669
1,1268,1337
2,1057,1124
3,1114,1181
4,1266,1325
5,1135,1199
6,1132,1210
7,1244,1289
8,1863,1912
9,1358,1415
10,1272,1340
11,6578,6642
12,1193,1265
13,1615,1754
14,1446,1525
15,1175,1245
16,1194,1264
17,1178,1247
18,1161,1230
19,1205,1270
20,5593,5651
21,1222,1289
22,1142,1212
23,1122,1166
24,1197,1279
25,1187,1253
26,1240,1325
27,1553,1602
28,1337,1401
29,1130,1201
30,1200,1245
31,3352,3428
32,1164,1249
33,1178,1254
34,1465,1519
35,1731,1779
36,1189,1258
37,1252,1322
38,1230,1298
39,1183,1251
40,1186,1254
41,1244,1314
42,1318,1367
43,1881,1923
44,1331,1397
45,1268,1315
46,1198,1256
47,1285,1360
48,1315,1393
49,1378,1450
50,1439,1489
51,1822,1895
52,1338,1402
53,1188,1235
54,1143,1195
55,1212,1262
56,1219,1290
57,1215,1286
58,1211,1279
59,1741,1806
60,1254,1324
61,1218,1284
62,1167,1232
63,1197,1264
64,1196,1261
65,1278,1349
66,1234,1308
67,1493,1552
68,1420,1483
69,1240,1304
70,1213,1281
71,1196,1266
72,1230,1299
73,1360,1403
74,1343,1392
75,1338,1382
76,1262,1305
77,1307,1357
78,1214,1249
79,1290,1344
80,1182,1249
81,1196,1265
82,1298,1366
83,1244,1315
84,1682,1749
85,1275,1346
86,1316,1398
87,1229,1300
88,1253,1320
89,1237,1309
90,1337,1409
91,1254,1329
92,1586,1629
93,1482,1546
94,1286,1355
95,1214,1285
96,1145,1216
97,1224,1302
98,1263,1309
99,1206,1296
100,1433,1507
101,1598,1662
102,1286,1353
103,1259,1307
104,1248,1290
105,1284,1326
106,1306,1349
107,1273,1365
108,1784,1846
109,1254,1323
110,1218,1289
111,1222,1290
112,1202,1270
113,1285,1354
114,1290,1361
115,1330,1405
116,1537,1655
117,1668,1719
118,1341,1389
119,1243,1289
120,1199,1269
121,1192,1260
122,1260,1327
123,1278,1337
124,1327,1392
125,1577,1641
126,1276,1342
127,1226,1295
128,1253,1317
129,1176,1244
130,1240,1309
131,1180,1269
132,1277,1370
133,1498,1574
134,1371,1434
135,1237,1302
136,1245,1311
137,1249,1317
138,1196,1265
139,1271,1346
140,1285,1360
141,2139,2188
142,1314,1367
143,1243,1315
144,1241,1309
145,1211,1279
146,1249,1318
147,1236,1305
148,1254,1398
149,1812,1914
150,1261,1328
151,1290,1360
152,1238,1306
153,1246,1314
154,1164,1243
155,1275,1356
156,1266,1363
157,1786,1840
158,1337,1400
159,1287,1354
160,1263,1328
161,1269,1336
162,1298,1363
163,1478,1525
164,1600,1656
165,1556,1622
166,1220,1301
167,1271,1342
168,1270,1342
169,1261,1335
170,1307,1345
171,1265,1347
172,1421,1461
173,1686,1750
174,1308,1373
175,16783,16830
176,1270,1339
177,1263,1332
178,1274,1343
179,1272,1337
180,1246,1304
181,2016,2065
182,1375,1455
183,1286,1346
184,1238,1318
185,1270,1370
186,1312,1389
187,1334,1406
188,1325,1400
189,1538,1619
190,1362,1443
191,1276,1335
192,1271,1351
193,1281,1349
194,1273,1365
195,1316,1388
196,1437,1487
197,1795,1875
198,1354,1423
199,1282,1349
200,1291,1360
201,1290,1359
202,1254,1322
203,1360,1405
204,1486,1548
205,1433,1498
206,1298,1366
207,1288,1356
208,1276,1346
209,1266,1335
210,1279,1351
211,1327,1400
212,1537,1575
213,1846,1908
214,1334,1402
215,1279,1365
216,1345,1387
217,1296,1381
218,1335,1436
219,1343,1449
220,1585,1635
221,1392,1429
222,1315,1362
223,1271,1337
224,1297,1361
225,1338,1408
226,1337,1410
227,6710,6772
228,1323,1380
229,1374,1443
230,1323,1390
231,1313,1384
232,1325,1394
233,1634,1697
234,1320,1388
235,1293,1381
236,1220,1262
237,1398,1435
238,1282,1321
239,1375,1464
240,1264,1332
241,1539,1580
242,1548,1626
243,1314,1386
244,1336,1392
245,1359,1423
246,1288,1353
247,1384,1452
248,1398,1450
249,1414,1473
250,1308,1373
251,1284,1355
252,1313,1381
253,1319,1385
254,1362,1435
255,1330,1406
256,1558,1701
257,1549,1614
258,1397,1467
259,1367,1438
260,2328,2388
261,1339,1408
262,1294,1362
263,1327,1370
264,1748,1811
265,1347,1416
266,1366,1438
267,1411,1476
268,1364,1433
269,1305,1373
270,11342,11408
271,1351,1423
272,1274,1343
273,1309,1380
274,1469,1518
275,1417,1480
276,1367,1435
277,1339,1408
278,1383,1471
279,1359,1422
280,1427,1496
281,1339,1411
282,1744,1856
283,1506,1576
284,1336,1404
285,1338,1408
286,1322,1387
287,1364,1434
288,1395,1468
289,1346,1426
290,1611,1654
291,1650,1713
292,1384,1453
293,1330,1396
294,1360,1427
295,1473,1543
296,1378,1447
