run number, parent duration, child duration
0,1438,1479
1,1212,1269
2,1141,1187
3,1176,1251
4,1156,1220
5,1179,1241
6,1588,1668
7,1403,1458
8,1193,1234
9,1125,1186
10,1120,1180
11,1149,1207
12,1214,1282
13,1418,1480
14,1311,1368
15,1149,1213
16,1148,1214
17,1154,1222
18,1132,1199
19,1170,1241
20,1307,1359
21,1527,1570
22,1166,1232
23,1142,1183
24,1196,1264
25,1139,1203
26,1171,1243
27,1221,1294
28,1733,1807
29,1195,1244
30,1148,1212
31,1131,1196
32,1217,1283
33,1157,1219
34,1190,1257
35,1450,1493
36,1216,1270
37,1285,1331
38,1214,1255
39,1235,1280
40,1363,1410
41,1252,1299
42,1263,1325
43,1120,1178
44,1153,1210
45,1133,1186
46,1127,1195
47,1173,1233
48,1173,1232
49,1399,1443
50,1411,1456
51,1277,1315
52,1232,1276
53,1240,1279
54,1211,1254
55,1222,1262
56,1428,1466
57,1296,1363
58,1249,1286
59,1187,1230
60,1171,1222
61,1144,1193
62,1427,1492
63,1352,1400
64,1231,1290
65,1151,1215
66,1225,1263
67,1221,1285
68,1140,1186
69,1126,1192
70,1124,1189
71,1356,1432
72,1218,1284
73,1125,1193
74,1141,1208
75,1146,1213
76,1172,1243
77,1152,1222
78,1861,1959
79,1293,1330
80,1317,1382
81,1188,1249
82,1202,1271
83,1158,1223
84,1156,1212
85,1969,2036
86,1237,1299
87,1202,1265
88,1154,1217
89,1172,1235
90,1670,1713
91,1633,1681
92,1668,1710
93,1216,1297
94,1189,1239
95,1161,1224
96,1157,1239
97,1152,1219
98,1162,1280
99,1682,1726
100,1537,1615
101,1238,1292
102,1129,1186
103,1170,1224
104,1124,1184
105,1186,1224
106,1479,1550
107,1184,1237
108,1114,1177
109,1122,1178
110,1136,1192
111,1156,1216
112,1181,1250
113,1662,1708
114,1261,1335
115,1161,1230
116,1140,1212
117,1133,1202
118,1136,1202
119,1180,1241
120,1455,1537
121,1371,1434
122,1165,1235
123,1137,1201
124,1116,1181
125,1115,1183
126,1126,1193
127,1351,1400
128,1409,1468
129,1187,1237
130,1153,1217
131,1144,1213
132,1131,1195
133,1145,1220
134,1228,1296
135,1760,1845
136,1192,1262
137,1151,1217
138,1111,1146
139,1165,1228
140,1144,1209
141,1155,1221
142,1403,1444
143,1268,1326
144,1139,1206
145,1138,1201
146,1126,1192
147,1131,1200
148,1193,1231
149,1756,1848
150,1189,1226
151,1131,1202
152,1142,1205
153,1116,1182
154,1162,1233
155,1187,1258
156,1378,1442
157,1306,1368
158,1149,1213
159,1135,1200
160,1144,1210
